2025-08-22 | Provoker | https://www.ticketmaster.co.uk/event/1F005E97C4AB3B49 | Hackney | Moth Club | 300 | 18:30 | 19:00 | 22:00 | Available | N/A | 18:30 | 21:00 | LA indie rock band brings darkwave vibes to an intimate club show.
2025-08-28 | Rudimental | https://www.ticketmaster.co.uk/event/35005F1EA0A0197D | Soho | HERE at Outernet | 2000 | 19:00 | 20:00 | 23:00 | Available | N/A | 19:30 | 22:00 | London drum-and-bass outfit plays an immersive album launch DJ set.
2025-08-30 | Addison Rae | https://www.ticketmaster.co.uk/event/1F005E8DBCC516F8 | Kentish Town | O2 Forum Kentish Town | 2300 | 18:00 | 19:00 | 22:00 | Available | N/A | 18:30 | 21:00 | TikTok-star-turned-pop singer headlines her first London show.
2025-09-05 | Dope Lemon | https://www.ticketmaster.co.uk/event/1F005E8AC8A010F2 | Kentish Town | O2 Forum Kentish Town | 2300 | 18:00 | 19:00 | 22:00 | Available | N/A | 18:30 | 21:00 | Australian indie rock project of Angus Stone stops in London on tour.
2025-09-05 | Pendulum (DJ Set) | https://dice.fm/event/pndlum-inertia-dj-show-2025 | Soho | HERE at Outernet | 2000 | 19:00 | 19:00 | 22:30 | Available | Album launch DJ show | 19:30 | 21:30 | Drum & bass icons spin an exclusive ‘Inertia’ album release set.
2025-09-06 | Stavros Halkias | https://www.ticketmaster.co.uk/event/1F005EC3B12345 | Shepherd’s Bush | O2 Shepherd’s Bush Empire | 2000 | 18:00 | 19:00 | 23:00 | Available | N/A | 18:30 | 22:00 | Critically acclaimed stand-up comedian brings his Dreamboat Tour to London.
2025-09-07 | Stavros Halkias | https://www.ticketmaster.co.uk/event/1F005EC3B22346 | Shepherd’s Bush | O2 Shepherd’s Bush Empire | 2000 | 18:00 | 19:00 | 23:00 | Available | Second night added | 18:30 | 22:00 | Second night of the Dreamboat Tour from the hit US stand-up comic.
2025-09-10 | BaianaSystem | https://dice.fm/event/pye7q8-baianasystem-10th-sep-here-at-outernet-london | Soho | HERE at Outernet | 2000 | 19:00 | 20:00 | 23:00 | Available | N/A | 19:30 | 22:00 | Brazilian Bahian guitar collective ignites an Afro-Brazilian carnival party.
2025-09-11 | Wonho | https://www.ticketmaster.co.uk/wonho-london-11-09-2025/event/3E0062EBE7B81B24 | Shepherd’s Bush | O2 Shepherd’s Bush Empire | 2000 | 19:00 | 20:00 | 23:00 | Available | N/A | 19:30 | 22:00 | Global K-pop soloist brings his Stay Awake World Tour to London.
2025-09-12 | Francois Van Coke & Karen Zoid | https://www.ticketmaster.co.uk/event/1F005EC4F23456 | Shepherd’s Bush | O2 Shepherd’s Bush Empire | 2000 | 19:00 | 20:00 | 22:30 | Available | N/A | 19:30 | 21:30 | Iconic South African rock duo celebrate 10 years of their hit collaboration.
2025-09-13 | Chicane | https://www.ticketmaster.co.uk/event/1F005EC5087654 | Shepherd’s Bush | O2 Shepherd’s Bush Empire | 2000 | 19:00 | 20:00 | 22:30 | Available | N/A | 19:30 | 21:30 | Legendary trance act returns with a full live band show for the first time in a decade.
2025-09-18 | Saint Motel | https://www.ticketmaster.co.uk/event/1F005EC7A90876 | Shepherd’s Bush | O2 Shepherd’s Bush Empire | 2000 | 19:00 | 20:00 | 23:00 | Available | N/A | 19:30 | 22:00 | LA indie-pop band brings their orchestral pop new album tour to London.
2025-09-20 | Days Like These (Billy Bragg & Friends) | https://www.ticketmaster.co.uk/event/1F005EC8D33333 | Shepherd’s Bush | O2 Shepherd’s Bush Empire | 2000 | 18:00 | 19:00 | 23:00 | Available | Benefit show for Gaza | 18:30 | 22:00 | Billy Bragg hosts an evening of music, spoken word and film in support of Gaza relief (one-night-only event).
2025-09-22 | Marina Satti | https://www.ticketmaster.co.uk/event/1F005ECAF87654 | Shepherd’s Bush | O2 Shepherd’s Bush Empire | 2000 | 19:00 | 20:00 | 22:00 | Available | Rescheduled from Apr | 19:30 | 21:00 | Greek-Sudanese singer blends Greek, Arabic and Balkan sounds in her rescheduled London show.
2025-09-25 | HVOB | https://dice.fm/event/bbpd5k-hvob-the-silver-cage-london-25th-sep-here-at-outernet-london | Soho | HERE at Outernet | 2000 | 19:00 | 20:00 | 23:00 | Available | N/A | 19:30 | 22:00 | Austrian electronic duo presents their atmospheric ‘The Silver Cage’ world tour live.
2025-09-26 | OneRepublic | https://www.theo2.co.uk/events/detail/onerepublic-2025 | North Greenwich | The O2 Arena | 20000 | 18:30 | 20:00 | 22:30 | Available | Ella Henderson supporting | 19:00 | 21:30 | Grammy-nominated pop-rock band brings their Escape to Europe Tour to London’s arena.
